value,
23.46,4/1 0ʱ
23.18,4/1 1ʱ
22.8,4/1 2ʱ
22.46,4/1 3ʱ
22.11,4/1 4ʱ
21.73,4/1 5ʱ
21.48,4/1 6ʱ
21.24,4/1 7ʱ
21.05,4/1 8ʱ
20.9,4/1 9ʱ
21.08,4/1 10ʱ
21.37,4/1 11ʱ
21.55,4/1 12ʱ
21.78,4/1 13ʱ
21.96,4/1 14ʱ
22.2,4/1 15ʱ
22.32,4/1 16ʱ
22.44,4/1 17ʱ
22.3,4/1 18ʱ
22.31,4/1 19ʱ
22.37,4/1 20ʱ
22.3,4/1 21ʱ
22.1,4/1 22ʱ
21.93,4/1 23ʱ
21.77,4/2 0ʱ
21.58,4/2 1ʱ
21.37,4/2 2ʱ
21.28,4/2 3ʱ
21.12,4/2 4ʱ
20.8,4/2 5ʱ
20.47,4/2 6ʱ
20.28,4/2 7ʱ
20.2,4/2 8ʱ
20.23,4/2 9ʱ
20.77,4/2 10ʱ
21.47,4/2 11ʱ
22.1,4/2 12ʱ
22.55,4/2 13ʱ
23.01,4/2 14ʱ
23.43,4/2 15ʱ
23.83,4/2 16ʱ
24.09,4/2 17ʱ
24.07,4/2 18ʱ
23.91,4/2 19ʱ
23.71,4/2 20ʱ
23.65,4/2 21ʱ
23.66,4/2 22ʱ
23.48,4/2 23ʱ
23.24,4/3 0ʱ
23.06,4/3 1ʱ
22.93,4/3 2ʱ
22.54,4/3 3ʱ
22.23,4/3 4ʱ
21.88,4/3 5ʱ
21.53,4/3 6ʱ
21.21,4/3 7ʱ
21.01,4/3 8ʱ
21.33,4/3 9ʱ
21.93,4/3 10ʱ
22.85,4/3 11ʱ
23.61,4/3 12ʱ
24.33,4/3 13ʱ
24.74,4/3 14ʱ
24.98,4/3 15ʱ
25.39,4/3 16ʱ
25.64,4/3 17ʱ
25.74,4/3 18ʱ
25.68,4/3 19ʱ
25.53,4/3 20ʱ
25.31,4/3 21ʱ
25.08,4/3 22ʱ
24.79,4/3 23ʱ
24.47,4/4 0ʱ
24.24,4/4 1ʱ
23.9,4/4 2ʱ
23.46,4/4 3ʱ
22.98,4/4 4ʱ
22.52,4/4 5ʱ
22.08,4/4 6ʱ
21.68,4/4 7ʱ
21.64,4/4 8ʱ
21.94,4/4 9ʱ
22.64,4/4 10ʱ
23.49,4/4 11ʱ
24.39,4/4 12ʱ
25.2,4/4 13ʱ
25.76,4/4 14ʱ
26.37,4/4 15ʱ
26.77,4/4 16ʱ
27.09,4/4 17ʱ
27.19,4/4 18ʱ
27.36,4/4 19ʱ
27.23,4/4 20ʱ
27.03,4/4 21ʱ
26.82,4/4 22ʱ
26.52,4/4 23ʱ
26.37,4/5 0ʱ
26.12,4/5 1ʱ
25.8,4/5 2ʱ
25.55,4/5 3ʱ
25.23,4/5 3ʱ
25.12,4/5 4ʱ
24.95,4/5 5ʱ
24.52,4/5 6ʱ
24.63,4/5 7ʱ
24.71,4/5 8ʱ
24.69,4/5 9ʱ
25.07,4/5 10ʱ
26.06,4/5 11ʱ
26.96,4/5 12ʱ
27.6,4/5 13ʱ
28.11,4/5 14ʱ
28.4,4/5 15ʱ
28.71,4/5 16ʱ
29.01,4/5 17ʱ
28.78,4/5 18ʱ
28.65,4/5 19ʱ
28.57,4/5 20ʱ
28.54,4/5 21ʱ
28.53,4/5 22ʱ
28.16,4/5 23ʱ
28.12,4/6 0ʱ
27.8,4/6 1ʱ
27.28,4/6 2ʱ
27.01,4/6 3ʱ
26.83,4/6 4ʱ
26.58,4/6 5ʱ
26.43,4/6 6ʱ
26.37,4/6 7ʱ
27.04,4/6 8ʱ
27.86,4/6 9ʱ
28.8,4/6 10ʱ
29.62,4/6 11ʱ
30.32,4/6 12ʱ
30.87,4/6 13ʱ
31.3,4/6 14ʱ
31.61,4/6 15ʱ
31.77,4/6 16ʱ
31.91,4/6 17ʱ
32.01,4/6 18ʱ
32.03,4/6 19ʱ
32.14,4/6 20ʱ
31.74,4/6 21ʱ
31.48,4/6 22ʱ
31.16,4/6 23ʱ
30.96,4/7 0ʱ
30.57,4/7 1ʱ
30.13,4/7 2ʱ
